# MAUVE passband
# Derived from the MAUVE effective-area curve (Wavelength [nm], Effective area [cm2])
#   supplied by the user; normalised to unit peak. Only the spectral shape enters the
#   flux ratio, so the absolute collecting area cancels.
# Created: 2026-07-28
# provenance: official
# unit: nm
# transmission: fraction
346.6586 0.932861
346.9486 0.934703
347.2385 0.936543
347.5284 0.938381
347.8183 0.939408
348.1081 0.939272
348.3980 0.939164
348.6878 0.939056
348.9776 0.938948
349.2674 0.938839
349.5572 0.938717
349.8469 0.938480
350.1367 0.938244
350.4264 0.938011
350.7161 0.937779
351.0057 0.937545
351.2954 0.937312
351.5850 0.937079
351.8746 0.936845
352.1642 0.935849
352.4538 0.934671
352.7434 0.933502
353.0329 0.932334
353.3224 0.931167
353.6119 0.930000
353.9014 0.928727
354.1909 0.927407
354.4803 0.925824
354.7697 0.924189
355.0591 0.922555
355.3485 0.920923
355.6379 0.919293
355.9272 0.917663
356.2166 0.916053
356.5059 0.914450
356.7952 0.912466
357.0844 0.910414
357.3737 0.908364
357.6629 0.906316
357.9521 0.904134
358.2413 0.901816
358.5305 0.899499
358.8196 0.897184
359.1088 0.887025
359.3979 0.885321
359.6870 0.883619
359.9760 0.881918
360.2651 0.878979
360.5541 0.875851
360.8432 0.872727
361.1322 0.869607
361.4211 0.866492
361.7101 0.863381
361.9990 0.860274
362.2879 0.857121
362.5768 0.845974
362.8657 0.841803
363.1546 0.837640
363.4434 0.833483
363.7323 0.829332
364.0211 0.825193
364.3098 0.821121
364.5986 0.817054
364.8873 0.812994
365.1761 0.808939
365.4648 0.804890
365.7535 0.800848
366.0421 0.796807
366.3308 0.792849
366.6194 0.788918
366.9080 0.784994
367.1966 0.781978
367.4852 0.779082
367.7737 0.776191
368.0622 0.773326
368.3507 0.754153
368.6392 0.752578
368.9277 0.751004
369.2162 0.749431
369.5046 0.747860
369.7930 0.746290
370.0814 0.744702
370.3698 0.743130
370.6581 0.741602
370.9464 0.731427
371.2348 0.731021
371.5230 0.730614
371.8113 0.730207
372.0996 0.729797
372.3878 0.729380
372.6760 0.728962
372.9642 0.728545
373.2524 0.728127
373.5405 0.727710
373.8287 0.727292
374.1168 0.726880
374.4049 0.726527
374.6930 0.726330
374.9810 0.726134
375.2691 0.720520
375.5571 0.722044
375.8451 0.723566
376.1330 0.725094
376.4210 0.726635
376.7089 0.728174
376.9969 0.729713
377.2848 0.731250
377.5726 0.732786
377.8605 0.735181
378.1483 0.738436
378.4361 0.741698
378.7239 0.745055
379.0117 0.748422
379.2995 0.751789
379.5872 0.755154
379.8749 0.750293
380.1626 0.754815
380.4503 0.759339
380.7380 0.763849
381.0256 0.768359
381.3132 0.772867
381.6008 0.777375
381.8884 0.781881
382.1760 0.768046
382.4635 0.773951
382.7510 0.779854
383.0385 0.785756
383.3260 0.791656
383.6135 0.797554
383.9009 0.803451
384.1883 0.809336
384.4757 0.815212
384.7631 0.816787
385.0505 0.821124
385.3378 0.825459
385.6251 0.829793
385.9124 0.834126
386.1997 0.838451
386.4869 0.842772
386.7742 0.847108
387.0614 0.838106
387.3486 0.843228
387.6358 0.848351
387.9229 0.853472
388.2101 0.858637
388.4972 0.863818
388.7843 0.869000
389.0714 0.874181
389.3584 0.879285
389.6455 0.881248
389.9325 0.883212
390.2195 0.885130
390.5065 0.887036
390.7934 0.888943
391.0803 0.890849
391.3673 0.897327
391.6542 0.906427
391.9410 0.915526
392.2279 0.924659
392.5147 0.922923
392.8015 0.925490
393.0883 0.928057
393.3751 0.930624
393.6619 0.933191
393.9486 0.935758
394.2353 0.938381
394.5220 0.940901
394.8087 0.943421
395.0953 0.945855
395.3820 0.948101
395.6686 0.950345
395.9552 0.952587
