# Ariel AIRS-CH0 passband
# Source: SVO Filter Profile Service (Ariel), provided by the user
# Added: 2026-07-28
# provenance: official
# unit: micron
# transmission: fraction
3.1290000000 0.3204784600
3.1380000000 0.3229903475
3.1460000000 0.3258003998
3.1550000000 0.3284558928
3.1630000000 0.3306862771
3.1720000000 0.3328664211
3.1810000000 0.3356456556
3.1890000000 0.3373495264
3.1980000000 0.3387349565
3.2060000000 0.3393432164
3.2150000000 0.3405035106
3.2240000000 0.3407726472
3.2320000000 0.3408760969
3.2410000000 0.3404136403
3.2490000000 0.3398888917
3.2580000000 0.3386460303
3.2670000000 0.3377381172
3.2750000000 0.3369677388
3.2840000000 0.3357584520
3.2920000000 0.3347958732
3.3010000000 0.3347262041
3.3100000000 0.3351386202
3.3180000000 0.3349546686
3.3270000000 0.3366481758
3.3360000000 0.3382123985
3.3440000000 0.3399263396
3.3530000000 0.3406999612
3.3610000000 0.3413151749
3.3700000000 0.3419420621
3.3790000000 0.3422155369
3.3870000000 0.3423021106
3.3960000000 0.3418909529
3.4040000000 0.3413283244
3.4130000000 0.3398670459
3.4220000000 0.3403994688
3.4300000000 0.3409001066
3.4390000000 0.3421792543
3.4470000000 0.3436210588
3.4560000000 0.3442319686
3.4650000000 0.3443152570
3.4730000000 0.3438650931
3.4820000000 0.3441433225
3.4900000000 0.3443656713
3.4990000000 0.3438608989
3.5080000000 0.3436782592
3.5160000000 0.3448740495
3.5250000000 0.3457990422
3.5340000000 0.3463616464
3.5420000000 0.3457571293
3.5510000000 0.3464181855
3.5590000000 0.3476228246
3.5680000000 0.3481214071
3.5770000000 0.3476795107
3.5850000000 0.3473092447
3.5940000000 0.3487364416
3.6020000000 0.3494945472
3.6110000000 0.3498522754
3.6200000000 0.3494875670
3.6280000000 0.3496384532
3.6370000000 0.3499136802
3.6450000000 0.3500545012
3.6540000000 0.3500103318
3.6630000000 0.3498220052
3.6710000000 0.3492688168
3.6800000000 0.3487405617
3.6880000000 0.3479110419
3.6970000000 0.3470345975
3.7060000000 0.3456762577
3.7140000000 0.3430746470
3.7230000000 0.3407460443
3.7320000000 0.3379653154
3.7400000000 0.3342174298
3.7490000000 0.3302372263
3.7570000000 0.3257317581
3.7660000000 0.3204702617
3.7750000000 0.3141572882
3.7830000000 0.3058849184
3.7920000000 0.2977074850
3.8000000000 0.2891582443
3.8090000000 0.2781558742
3.8180000000 0.2655801281
3.8260000000 0.2526570367
3.8350000000 0.2387396782
3.8430000000 0.2226021370
3.8520000000 0.2054444565
3.8610000000 0.1887978072
3.8690000000 0.1710872318
3.8780000000 0.1529616997
3.8860000000 0.1348363993
3.8950000000 0.1155638620
