teff,logg,mh,alpha,node
19000,3.25,0,0,323
19000,3.25,0.301,0,324
19000,3.5,-1,0,325
19000,3.5,-0.699,0,326
19000,3.5,-0.301,0,327
19000,3.5,0,0,329
19000,3.5,0.301,0,330
19000,3.75,-1,0,331
19000,3.75,-0.699,0,332
19000,3.75,-0.301,0,333
19000,3.75,0,0,335
19000,3.75,0.301,0,336
19000,4,-1,0,337
19000,4,-0.699,0,338
19000,4,-0.301,0,339
19000,4,0,0,341
19000,4,0.301,0,342
19000,4.25,-1,0,343
19000,4.25,-0.699,0,344
19000,4.25,-0.301,0,345
19000,4.25,0,0,347
19000,4.25,0.301,0,348
19000,4.5,-1,0,349
19000,4.5,-0.699,0,350
19000,4.5,-0.301,0,351
19000,4.5,0,0,353
19000,4.5,0.301,0,354
19000,4.75,-1,0,355
19000,4.75,-0.699,0,356
19000,4.75,-0.301,0,357
19000,4.75,0,0,359
19000,4.75,0.301,0,360
20000,2.25,-1,0,361
20000,2.25,-0.699,0,362
20000,2.25,-0.301,0,363
20000,2.25,0,0,365
20000,2.25,0.301,0,366
20000,2.5,-1,0,367
20000,2.5,-0.699,0,368
20000,2.5,-0.301,0,369
20000,2.5,0,0,371
20000,2.5,0.301,0,372
20000,2.75,-1,0,373
20000,2.75,-0.699,0,374
20000,2.75,-0.301,0,375
20000,2.75,0,0,377
20000,2.75,0.301,0,378
20000,3,-1,0,379
20000,3,-0.699,0,380
20000,3,-0.301,0,381
20000,3,0,0,383
20000,3,0.301,0,384
20000,3.25,-1,0,385
20000,3.25,-0.699,0,386
20000,3.25,-0.301,0,387
20000,3.25,0,0,389
20000,3.25,0.301,0,390
20000,3.5,-1,0,391
20000,3.5,-0.699,0,392
20000,3.5,-0.301,0,393
20000,3.5,0,0,395
20000,3.5,0.301,0,396
20000,3.75,-1,0,397
20000,3.75,-0.699,0,398
20000,3.75,-0.301,0,399
20000,3.75,0,0,401
20000,3.75,0.301,0,402
20000,4,-1,0,403
20000,4,-0.699,0,404
20000,4,-0.301,0,405
20000,4,0,0,407
20000,4,0.301,0,408
20000,4.25,-1,0,409
20000,4.25,-0.699,0,410
20000,4.25,-0.301,0,411
20000,4.25,0,0,413
20000,4.25,0.301,0,414
20000,4.5,-1,0,415
20000,4.5,-0.699,0,416
20000,4.5,-0.301,0,417
20000,4.5,0,0,419
20000,4.5,0.301,0,420
20000,4.75,-1,0,421
20000,4.75,-0.699,0,422
20000,4.75,-0.301,0,423
20000,4.75,0,0,425
20000,4.75,0.301,0,426
21000,2.25,-1,0,427
21000,2.25,-0.699,0,428
21000,2.5,-1,0,430
21000,2.5,-0.699,0,431
21000,2.5,-0.301,0,432
21000,2.5,0,0,434
21000,2.5,0.301,0,435
21000,2.75,-1,0,436
21000,2.75,-0.699,0,437
21000,2.75,-0.301,0,438
21000,2.75,0,0,440
21000,2.75,0.301,0,441
21000,3,-1,0,442
21000,3,-0.699,0,443
21000,3,-0.301,0,444
21000,3,0,0,446
21000,3,0.301,0,447
21000,3.25,-1,0,448
21000,3.25,-0.699,0,449
21000,3.25,-0.301,0,450
21000,3.25,0,0,452
21000,3.25,0.301,0,453
21000,3.5,-1,0,454
21000,3.5,-0.699,0,455
21000,3.5,-0.301,0,456
21000,3.5,0,0,458
21000,3.5,0.301,0,459
21000,3.75,-1,0,460
21000,3.75,-0.699,0,461
21000,3.75,-0.301,0,462
21000,3.75,0,0,464
21000,3.75,0.301,0,465
21000,4,-1,0,466
21000,4,-0.699,0,467
21000,4,-0.301,0,468
21000,4,0,0,470
21000,4,0.301,0,471
21000,4.25,-1,0,472
21000,4.25,-0.699,0,473
21000,4.25,-0.301,0,474
21000,4.25,0,0,476
21000,4.25,0.301,0,477
21000,4.5,-1,0,478
21000,4.5,-0.699,0,479
21000,4.5,-0.301,0,480
21000,4.5,0,0,482
21000,4.5,0.301,0,483
